BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,MeanDiff,VarianceDiff,TotalRows
1,VGG19,Ratio,ADV,2,4,-0.010522994500000002,0.00021858575368565323,20000
5,VGG19,Height,OOD,16,2,0.1938330425,0.06214628034719559,20000
3,VGG19,Ratio,COV,2,1,-9.261350000000089e-05,0.0001708664859489152,20000
5,VGG19,Ratio,OOD,16,1,-0.376871201,0.058123803802297445,20000
2,VGG19,Ratio,COV,16,2,0.023549674499999996,0.019108376072922765,20000
2,VGG19,Height,OOD,4,2,0.0208334045,0.015508600087128758,20000
3,VGG19,Height,IID,8,4,-0.006859678500000001,0.006746827276735453,20000
2,ResNet50,Height,ADV,4,4,-0.022707882000000002,0.021733762738031046,20000
2,VGG19,Height,OOD,16,1,0.315038274,0.06425719506804427,20000
4,VGG19,Height,ADV,2,3,-0.004219617500000001,0.0015371691381956024,20000
5,ResNet50,Ratio,ADV,4,3,0.027445927499999995,0.0189753466355816,20000
3,ResNet50,Ratio,IID,16,1,0.0105545925,0.04297313658813359,20000
2,ResNet50,Ratio,ADV,16,2,0.16061156649999997,0.04235668346887443,20000
3,ResNet50,Ratio,IID,8,3,0.04242513999999999,0.004314800909905905,20000
4,ResNet50,Ratio,OOD,8,0,-0.27516159850000005,0.06320909240804029,20000
5,VGG19,Height,COV,4,4,-0.022667914,0.004463340260421668,20000
2,ResNet50,Ratio,OOD,2,4,-0.1722561095,0.03116319554637658,20000
4,VGG19,Ratio,ADV,4,3,-0.018377031000000002,0.004685708417475927,20000
5,VGG19,Height,OOD,8,1,0.2100696555,0.08884508642315778,20000
2,VGG19,Ratio,IID,16,3,0.1391751845,0.014699786648488342,20000
1,ResNet50,Height,OOD,16,4,0.18778802299999997,0.062094290458534304,20000
1,VGG19,Height,ADV,8,1,-0.191147837,0.06828850678910069,20000
1,VGG19,Ratio,IID,4,0,-0.008081429,0.000240351815848751,20000
1,ResNet50,Height,COV,4,3,-0.0052695835,0.002007271965509809,20000
2,ResNet50,Height,IID,2,0,-0.005876093499999999,0.0010068198721478643,20000
3,ResNet50,Ratio,COV,16,0,-0.0011442579999999996,0.02789039188840377,20000
4,ResNet50,Height,IID,8,1,-0.1093076235,0.05202388681741832,20000
3,ResNet50,Height,OOD,4,0,0.159486663,0.03001738291901035,20000
2,VGG19,Ratio,ADV,8,2,0.0769782055,0.0075102028839189065,20000
1,ResNet50,Ratio,ADV,2,2,0.00021061299999999798,0.0005759498717078167,20000
5,ResNet50,Height,COV,2,4,0.00018789649999999817,0.0016527615211463528,20000
4,VGG19,Height,IID,2,1,-0.0141223365,0.004763129111041311,20000
5,VGG19,Height,COV,2,2,-0.003067572000000002,0.0029468565002098218,20000
5,ResNet50,Ratio,IID,4,1,0.0023448504999999988,0.001166919978666588,20000
2,ResNet50,Ratio,OOD,4,2,-0.20402191199999997,0.06270741603245557,20000
3,ResNet50,Ratio,ADV,8,1,0.0713678935,0.015283015031399312,20000
2,ResNet50,Height,ADV,16,1,-0.2083280765,0.07985936312759162,20000
1,ResNet50,Ratio,ADV,4,4,0.0029968539999999976,0.0021031282644258897,20000
5,ResNet50,Height,COV,4,2,-0.007187534500000001,0.004990542251068834,20000
1,VGG19,Ratio,ADV,4,2,0.05961524099999999,0.0050546293091973775,20000
1,VGG19,Height,IID,8,3,-0.020783815,0.0015482588607688137,20000
4,VGG19,Ratio,ADV,16,3,-0.378517775,0.050547969695364056,20000
2,VGG19,Height,OOD,2,4,0.07870806300000001,0.007309773234119734,20000
2,ResNet50,Height,ADV,2,2,-0.123355433,0.05012968618270174,20000
3,VGG19,Ratio,OOD,8,2,-0.30766280650000005,0.07741906386860212,20000
1,VGG19,Height,OOD,16,4,0.194452084,0.061604291374286024,20000
1,ResNet50,Ratio,IID,2,0,0.0037503545,0.0004116407978592238,20000
2,VGG19,Ratio,IID,8,0,-0.009560791499999999,0.0015849372944932623,20000
4,ResNet50,Height,ADV,8,3,-0.26952592999999997,0.05566666624778753,20000
5,VGG19,Ratio,OOD,4,3,-0.21720935549999998,0.04984893159559899,20000
4,VGG19,Ratio,IID,4,1,0.005141314499999999,0.0002689457218631817,20000
4,ResNet50,Ratio,COV,2,3,0.0012059514999999974,0.0008397005986145747,20000
4,ResNet50,Ratio,COV,2,2,-0.004073184000000002,0.0010939353996821425,20000
4,VGG19,Ratio,IID,4,0,-0.007200472499999999,0.0004151202405537739,20000
4,VGG19,Height,ADV,4,4,0.015938075499999996,0.021154948633543037,20000
5,ResNet50,Ratio,ADV,2,4,0.00016189199999999812,0.0013915204692338012,20000
5,VGG19,Ratio,OOD,4,2,-0.1776646375,0.047915922201338716,20000
4,ResNet50,Height,ADV,8,2,-0.28479557650000004,0.08495543609441177,20000
2,VGG19,Ratio,IID,8,1,-0.015385282500000002,0.002704332502995345,20000
1,ResNet50,Ratio,IID,2,1,-0.005615768000000001,0.0005951385380870782,20000
3,VGG19,Ratio,OOD,8,3,-0.319113605,0.058649450097509034,20000
2,ResNet50,Height,ADV,2,3,-5.588950000000003e-05,0.0034766461504863373,20000
4,VGG19,Ratio,ADV,16,2,0.018218305999999997,0.009653879329176858,20000
1,VGG19,Height,IID,8,2,-0.107142266,0.0381347473029902,20000
1,VGG19,Ratio,ADV,4,3,5.826849999999748e-05,0.0021492306001569083,20000
1,ResNet50,Height,COV,2,4,0.0038614439999999986,0.000704782490579397,20000
5,ResNet50,Height,COV,4,3,-0.004929873,0.005279185364442079,20000
2,ResNet50,Height,ADV,16,0,-0.08976308899999999,0.039193591239580085,20000
3,ResNet50,Ratio,ADV,8,0,0.1858030585,0.0347533442178716,20000
5,ResNet50,Height,ADV,16,4,0.07222850449999998,0.0770052577303645,20000
5,VGG19,Height,COV,2,3,0.01020301,0.00037240387169348296,20000
2,ResNet50,Ratio,OOD,4,3,-0.246089458,0.05847442927397997,20000
5,ResNet50,Ratio,IID,4,0,0.014371875500000002,0.0022278815681559,20000
4,VGG19,Ratio,ADV,2,4,0.010778815999999997,0.0002839757117537343,20000
4,VGG19,Height,IID,2,0,-0.0003864824999999987,0.00040389480515245086,20000
1,ResNet50,Ratio,ADV,2,3,0.0012176354999999977,0.00069119575036166,20000
2,VGG19,Ratio,ADV,8,3,0.012006218999999997,0.03647135091792964,20000
3,ResNet50,Height,OOD,4,1,0.147824763,0.03389198000021394,20000
4,ResNet50,Height,IID,8,0,0.0096715505,0.013518765173519617,20000
