BarChartType,ModelName,SamplingTarget,SamplingMethod,DownsamplingLevel,RunIndex,TotalRows,MeanDiff,VarianceDiff,MaxDiff,MinDiff
1,VGG19,Ratio,ADV,2,4,20000,0.0151372545,0.00010017677268586395,0.08177000000000001,0.0
5,VGG19,Height,OOD,16,2,20000,0.2580596865,0.03312127566529005,0.6592100000000001,2.999999999997449e-05
3,VGG19,Ratio,COV,2,1,20000,0.0098620435,7.361029840402743e-05,0.10154000000000007,0.0
5,VGG19,Ratio,OOD,16,1,20000,0.376897278,0.05810414679882067,0.87483,9.999999999996123e-06
2,VGG19,Ratio,COV,16,2,20000,0.1025894745,0.009137864438210724,0.43732,0.0
2,VGG19,Height,OOD,4,2,20000,0.09159266149999999,0.007553017410401873,0.35407999999999995,0.0
3,VGG19,Height,IID,8,4,20000,0.046741441499999994,0.004609013221658182,0.35212,0.0
2,ResNet50,Height,ADV,4,4,20000,0.098331358,0.012579896983544992,0.55888,0.0
2,VGG19,Height,OOD,16,1,20000,0.33423061200000004,0.051795584074499385,0.98454,0.00012999999999996348
4,VGG19,Height,ADV,2,3,20000,0.022558925499999997,0.0010460446341021543,0.3139099999999999,0.0
5,ResNet50,Ratio,ADV,4,3,20000,0.1064853585,0.00838896467794537,0.6049800000000001,9.99999999995449e-06
3,ResNet50,Ratio,IID,16,1,20000,0.1680437285,0.014844434887707626,0.70523,3.999999999992898e-05
2,ResNet50,Ratio,ADV,16,2,20000,0.21252231849999997,0.02298605437038812,0.6897,1.0000000000065512e-05
3,ResNet50,Ratio,IID,8,3,20000,0.053055024000000006,0.0032998070925940692,0.53381,0.0
4,ResNet50,Ratio,OOD,8,0,20000,0.2764067745,0.06252225836592003,0.82838,0.0
5,VGG19,Height,COV,4,4,20000,0.031116195,0.004008934273955647,0.42752,0.0
2,ResNet50,Ratio,OOD,2,4,20000,0.1765026655,0.029682097822961356,0.6567700000000001,0.0
4,VGG19,Ratio,ADV,4,3,20000,0.052422095,0.002275227117596855,0.52704,0.0
